T32,Net disbursements of official development assistance from donors,,,,,
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"131,563",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"144,965",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"146,600",Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.33,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.30,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.30,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
593,DAC total,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),552,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),749,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,194",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,680",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,826",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,382",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,494",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,278",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,957",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.48,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.29,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
36,Australia,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),248,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),620,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,573",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,208",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,235",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,324",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,635",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,230",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.21,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.28,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.35,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.42,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
40,Austria,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.30,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
31,Azerbaijan,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),16,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
31,Azerbaijan,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
31,Azerbaijan,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
31,Azerbaijan,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.02,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
31,Azerbaijan,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.02,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
31,Azerbaijan,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.04,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),378,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),440,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,034",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,963",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,004",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,446",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,904",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,300",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,204",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.60,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.55,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.53,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.64,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.46,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.42,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.50,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
56,Belgium,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.45,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),49,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),68,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),62,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
100,Bulgaria,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),880,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,631",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,067",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,756",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,214",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,240",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,277",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,930",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,277",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.54,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.49,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.28,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
124,Canada,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
191,Croatia,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),72,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
191,Croatia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),51,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
191,Croatia,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
191,Croatia,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),50,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
191,Croatia,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
191,Croatia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
191,Croatia,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.07,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
191,Croatia,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
196,Cyprus,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),15,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
196,Cyprus,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),51,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
196,Cyprus,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),19,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
196,Cyprus,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),18,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
196,Cyprus,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
196,Cyprus,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
